+----------+--------------------+--------------+--------------------+
| pkm_code | Name               | Primary Type | Moves of Same Type |
|      683 | Fragrance Man      | fairy        |                  8 |
|      692 | Water Gun Man      | water        |                  8 |
|      693 | Howitzer Man       | water        |                  8 |
|        3 | Ven Man            | grass        |                  9 |
|       25 | Pik Man            | electric     |                  9 |
|       50 | Mole Man           | ground       |                  9 |
|       52 | Scratch Cat Man    | normal       |                  9 |
|       53 | Classy Cat Man     | normal       |                  9 |
|       84 | Twin Bird Man      | normal       |                  9 |
|       85 | Triple Bird Man    | normal       |                  9 |
|       92 | Gas Man            | ghost        |                  9 |
|       96 | Hypnosis Man       | psychic      |                  9 |
|       97 | Hypno Man          | psychic      |                  9 |
|      107 | Punching Man       | fighting     |                  9 |
|      114 | Vine Man           | grass        |                  9 |
|      187 | Cottonweed Man     | grass        |                  9 |
|      188 | Skipl Man          | grass        |                  9 |
|      189 | Jumpl Man          | grass        |                  9 |
|      190 | Long Tail Man      | normal       |                  9 |
|      233 | Por Man            | normal       |                  9 |
|      241 | Milk Cow Man       | normal       |                  9 |
|      327 | Spot Panda Man     | normal       |                  9 |
|      333 | Cotton Bird Man    | normal       |                  9 |
|      352 | Color Swap Man     | normal       |                  9 |
|      362 | Face Man           | ice          |                  9 |
|      386 | DNA Man            | psychic      |                  9 |
|      424 | Ambip Man          | normal       |                  9 |
|      439 | Mime Man           | psychic      |                  9 |
|      441 | Music Note Man     | normal       |                  9 |
|      462 | Magnet Area Man    | electric     |                  9 |
|      465 | Tangr Man          | grass        |                  9 |
|      510 | Cruel Man          | dark         |                  9 |
|      568 | Trash Bag Man      | poison       |                  9 |
|      569 | Trash Heap Man     | poison       |                  9 |
|      577 | Cell Man           | psychic      |                  9 |
|      578 | Mitosis Man        | psychic      |                  9 |
|      579 | Multiplying Man    | psychic      |                  9 |
|      584 | Snowstorm Man      | ice          |                  9 |
|      659 | Digging Man        | normal       |                  9 |
|      660 | Digger Man         | normal       |                  9 |
|       20 | Rat Man            | normal       |                 10 |
|       93 | Haunter Man        | ghost        |                 10 |
|       94 | Shadow Man         | ghost        |                 10 |
|      115 | Parent Man         | normal       |                 10 |
|      128 | Wild Bull Man      | normal       |                 10 |
|      143 | Sleeping Man       | normal       |                 10 |
|      150 | Genetic Man        | psychic      |                 10 |
|      181 | Amphar Man         | electric     |                 10 |
|      206 | Land Snake Man     | normal       |                 10 |
|      217 | Hibernator Man     | normal       |                 10 |
|      263 | Tiny Raccoon Man   | normal       |                 10 |
|      280 | Feeling Man        | psychic      |                 10 |
|      281 | Emotion Man        | psychic      |                 10 |
|      293 | Whisper Man        | normal       |                 10 |
|      294 | Big Voice Man      | normal       |                 10 |
|      432 | Tiger Cat Man      | normal       |                 10 |
|      466 | Thunderbolt Man    | electric     |                 10 |
|      504 | Patr Man           | normal       |                 10 |
|      505 | Lookout Man        | normal       |                 10 |
|      506 | Lill Man           | normal       |                 10 |
|      507 | Loyal Dog Man      | normal       |                 10 |
|      508 | Big-Hearted Man    | normal       |                 10 |
|      539 | Karate Man         | fighting     |                 10 |
|      546 | Cotton Puff Man    | grass        |                 10 |
|      561 | Avianoid Man       | psychic      |                 10 |
|      570 | Tricky Fox Man     | dark         |                 10 |
|      626 | Bash Buffalo Man   | normal       |                 10 |
|       39 | Balloon Man        | normal       |                 11 |
|       51 | Dugtr Man          | ground       |                 11 |
|       66 | Superpower Man     | fighting     |                 11 |
|       67 | Mach Man           | fighting     |                 11 |
|       68 | Machmach Man       | fighting     |                 11 |
|      108 | Licking Man        | normal       |                 11 |
|      161 | Scout Man          | normal       |                 11 |
|      162 | Long Body Man      | normal       |                 11 |
|      191 | Sunkern Man        | grass        |                 11 |
|      264 | Rushing Man        | normal       |                 11 |
|      282 | Embrace Man        | psychic      |                 11 |
|      427 | Rabbit Man         | normal       |                 11 |
|      428 | Lop Man            | normal       |                 11 |
|      461 | Weav Man           | dark         |                 11 |
|      463 | Lick Man           | normal       |                 11 |
|      548 | Bulb Man           | grass        |                 11 |
|      571 | Illusion Fox Man   | dark         |                 11 |
|      122 | Barrier Man        | psychic      |                 12 |
|      295 | Loud Noise Man     | normal       |                 12 |
|      315 | Thorn Man          | grass        |                 12 |
|      517 | Dream Eater Man    | psychic      |                 12 |
|      556 | Marmar Man         | grass        |                 12 |
|      605 | Cerebral Man       | psychic      |                 12 |
|      606 | Behee Man          | psychic      |                 12 |
|      678 | Constraint Man     | psychic      |                 12 |
|       64 | Kad Man            | psychic      |                 13 |
|       65 | Alak Man           | psychic      |                 13 |
|      113 | Chan Man           | normal       |                 13 |
|      133 | Evolution Man      | normal       |                 13 |
|      192 | Sun Man            | grass        |                 13 |
|      242 | Bli Man            | normal       |                 13 |
|      446 | Big Eater Man      | normal       |                 13 |
|      300 | Kitten Man         | normal       |                 14 |
|      531 | Hearing Man        | normal       |                 14 |
|      572 | Chinchilla Man     | normal       |                 14 |
|      720 | Mischief Man       | psychic      |                 14 |
+----------+--------------------+--------------+--------------------+
